Cód Origem,Type,Voos Semanais,Diário,COMPRIMENTO_MAX,LATITUDE,LONGITUDE,Cod_4000,Dist_4000,Comp_4000,Lat_4000,Lon_4000,Cod_6000,Dist_6000,Comp_6000,Lat_6000,Lon_6000,Cod_8000,Dist_8000,Comp_8000,Lat_8000,Lon_8000,Cod_10000,Dist_10000,Comp_10000,Lat_10000,Lon_10000,Cod_12000,Dist_12000,Comp_12000,Lat_12000,Lon_12000
SBJE,Regional Jet,2,False,7217.847769028871,-2.9066666666666667,-40.35805555555556,SBJE,0.0,7217.847769028871,-2.9066666666666667,-40.35805555555556,SBJE,0.0,7217.847769028871,-2.9066666666666667,-40.35805555555556,SBPB,82.37972855712049,8202.099737532808,-2.8938888888888887,-41.73027777777778,SBPL,385.9898279307862,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1200.9198109421034,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJI,Regional Jet,6,False,5905.511811023622,-10.870555555555557,-61.84666666666667,SBJI,0.0,5905.511811023622,-10.870555555555557,-61.84666666666667,SSKW,44.027851375566954,6889.763779527559,-11.495555555555555,-61.450833333333335,SBVH,149.87700848239976,8530.18372703412,-12.694166666666668,-60.09722222222222,SLVR,411.6071940853055,11483.0,-17.6448,-63.135399,SLCB,465.6121078187532,12460.0,-17.421100616455078,-66.17710113525389
SBJP,Narrow Body,47,True,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBPL,359.241919099753,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1051.7878298049611,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJP,Regional Jet,1,False,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBPL,359.241919099753,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1051.7878298049611,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJP,Turboprop,24,True,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,0.0,8251.312335958004,-7.148333333333333,-34.95027777777778,SBPL,359.241919099753,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1051.7878298049611,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJU,Narrow Body,29,True,5905.511811023622,-7.219166666666667,-39.269444444444446,SBJU,0.0,5905.511811023622,-7.219166666666667,-39.269444444444446,SBPL,149.6151884462738,10662.72965879265,-9.3675,-40.56361111111111,SBPL,149.6151884462738,10662.72965879265,-9.3675,-40.56361111111111,SBPL,149.6151884462738,10662.72965879265,-9.3675,-40.56361111111111,SBGL,959.5812656870022,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJU,Turboprop,13,True,5905.511811023622,-7.219166666666667,-39.269444444444446,SBJU,0.0,5905.511811023622,-7.219166666666667,-39.269444444444446,SBPL,149.6151884462738,10662.72965879265,-9.3675,-40.56361111111111,SBPL,149.6151884462738,10662.72965879265,-9.3675,-40.56361111111111,SBPL,149.6151884462738,10662.72965879265,-9.3675,-40.56361111111111,SBGL,959.5812656870022,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJV,Narrow Body,32,True,5380.577427821522,-26.223055555555554,-48.797777777777775,SBJV,0.0,5380.577427821522,-26.223055555555554,-48.797777777777775,SBCT,46.148681069918915,7276.902887139107,-25.531666666666666,-49.17611111111111,SBJA,147.39118270844466,8198.818897637795,-28.67527777777778,-49.06027777777778,SBGR,209.50625721628555,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,209.50625721628555,12139.107611548556,-23.435555555555556,-46.473055555555554
SBJV,Regional Jet,3,False,5380.577427821522,-26.223055555555554,-48.797777777777775,SBJV,0.0,5380.577427821522,-26.223055555555554,-48.797777777777775,SBCT,46.148681069918915,7276.902887139107,-25.531666666666666,-49.17611111111111,SBJA,147.39118270844466,8198.818897637795,-28.67527777777778,-49.06027777777778,SBGR,209.50625721628555,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,209.50625721628555,12139.107611548556,-23.435555555555556,-46.473055555555554
SBJV,Turboprop,15,True,5380.577427821522,-26.223055555555554,-48.797777777777775,SBJV,0.0,5380.577427821522,-26.223055555555554,-48.797777777777775,SBCT,46.148681069918915,7276.902887139107,-25.531666666666666,-49.17611111111111,SBJA,147.39118270844466,8198.818897637795,-28.67527777777778,-49.06027777777778,SBGR,209.50625721628555,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,209.50625721628555,12139.107611548556,-23.435555555555556,-46.473055555555554
SBKG,Narrow Body,7,True,5249.343832020997,-7.269166666666667,-35.894999999999996,SBKG,0.0,5249.343832020997,-7.269166666666667,-35.894999999999996,SBJP,56.7993676719889,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,56.7993676719889,8251.312335958004,-7.148333333333333,-34.95027777777778,SBPL,304.6343050695303,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1021.3819255275934,13123.359580052493,-22.810000000000002,-43.25055555555556
SBKG,Turboprop,6,False,5249.343832020997,-7.269166666666667,-35.894999999999996,SBKG,0.0,5249.343832020997,-7.269166666666667,-35.894999999999996,SBJP,56.7993676719889,8251.312335958004,-7.148333333333333,-34.95027777777778,SBJP,56.7993676719889,8251.312335958004,-7.148333333333333,-34.95027777777778,SBPL,304.6343050695303,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1021.3819255275934,13123.359580052493,-22.810000000000002,-43.25055555555556
SBKP,Narrow Body,200,True,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,44.6433572449846,12139.107611548556,-23.435555555555556,-46.473055555555554
SBKP,Regional Jet,449,True,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,44.6433572449846,12139.107611548556,-23.435555555555556,-46.473055555555554
SBKP,Turboprop,211,True,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,0.0,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,44.6433572449846,12139.107611548556,-23.435555555555556,-46.473055555555554
