Cód Origem,Type,Voos Semanais,Diário,COMPRIMENTO_MAX,LATITUDE,LONGITUDE,Cod_4000,Dist_4000,Comp_4000,Lat_4000,Lon_4000,Cod_6000,Dist_6000,Comp_6000,Lat_6000,Lon_6000,Cod_8000,Dist_8000,Comp_8000,Lat_8000,Lon_8000,Cod_10000,Dist_10000,Comp_10000,Lat_10000,Lon_10000,Cod_12000,Dist_12000,Comp_12000,Lat_12000,Lon_12000
SBFI,Narrow Body,96,True,7201.443569553805,-25.60027777777778,-54.485,SBFI,0.0,7201.443569553805,-25.60027777777778,-54.485,SBFI,0.0,7201.443569553805,-25.60027777777778,-54.485,SARI,8.220542370275645,10827.0,-25.737301000000002,-54.4734,SARI,8.220542370275645,10827.0,-25.737301000000002,-54.4734,SBGR,457.02713382671305,12139.107611548556,-23.435555555555556,-46.473055555555554
SBFI,Regional Jet,25,False,7201.443569553805,-25.60027777777778,-54.485,SBFI,0.0,7201.443569553805,-25.60027777777778,-54.485,SBFI,0.0,7201.443569553805,-25.60027777777778,-54.485,SARI,8.220542370275645,10827.0,-25.737301000000002,-54.4734,SARI,8.220542370275645,10827.0,-25.737301000000002,-54.4734,SBGR,457.02713382671305,12139.107611548556,-23.435555555555556,-46.473055555555554
SBFI,Turboprop,6,False,7201.443569553805,-25.60027777777778,-54.485,SBFI,0.0,7201.443569553805,-25.60027777777778,-54.485,SBFI,0.0,7201.443569553805,-25.60027777777778,-54.485,SARI,8.220542370275645,10827.0,-25.737301000000002,-54.4734,SARI,8.220542370275645,10827.0,-25.737301000000002,-54.4734,SBGR,457.02713382671305,12139.107611548556,-23.435555555555556,-46.473055555555554
SBFL,Narrow Body,159,True,7529.527559055117,-27.67027777777778,-48.552499999999995,SBFL,0.0,7529.527559055117,-27.67027777777778,-48.552499999999995,SBFL,0.0,7529.527559055117,-27.67027777777778,-48.552499999999995,SBJA,65.89066000304322,8198.818897637795,-28.67527777777778,-49.06027777777778,SBGR,277.2857743467105,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,277.2857743467105,12139.107611548556,-23.435555555555556,-46.473055555555554
SBFL,Regional Jet,65,True,7529.527559055117,-27.67027777777778,-48.552499999999995,SBFL,0.0,7529.527559055117,-27.67027777777778,-48.552499999999995,SBFL,0.0,7529.527559055117,-27.67027777777778,-48.552499999999995,SBJA,65.89066000304322,8198.818897637795,-28.67527777777778,-49.06027777777778,SBGR,277.2857743467105,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,277.2857743467105,12139.107611548556,-23.435555555555556,-46.473055555555554
SBFN,Narrow Body,11,True,6053.149606299212,-3.854722222222222,-32.42833333333333,SBFN,0.0,6053.149606299212,-3.854722222222222,-32.42833333333333,SBFN,0.0,6053.149606299212,-3.854722222222222,-32.42833333333333,SBNT,208.7816955142099,8530.0,-5.91141986847,-35.2476997375,SBPL,586.6320254609482,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1295.7052744780624,13123.359580052493,-22.810000000000002,-43.25055555555556
SBFN,Regional Jet,12,False,6053.149606299212,-3.854722222222222,-32.42833333333333,SBFN,0.0,6053.149606299212,-3.854722222222222,-32.42833333333333,SBFN,0.0,6053.149606299212,-3.854722222222222,-32.42833333333333,SBNT,208.7816955142099,8530.0,-5.91141986847,-35.2476997375,SBPL,586.6320254609482,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1295.7052744780624,13123.359580052493,-22.810000000000002,-43.25055555555556
SBFN,Turboprop,7,False,6053.149606299212,-3.854722222222222,-32.42833333333333,SBFN,0.0,6053.149606299212,-3.854722222222222,-32.42833333333333,SBFN,0.0,6053.149606299212,-3.854722222222222,-32.42833333333333,SBNT,208.7816955142099,8530.0,-5.91141986847,-35.2476997375,SBPL,586.6320254609482,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1295.7052744780624,13123.359580052493,-22.810000000000002,-43.25055555555556
SBFZ,Narrow Body,299,True,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBPL,355.2341209947568,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1169.817374075506,13123.359580052493,-22.810000000000002,-43.25055555555556
SBFZ,Regional Jet,35,False,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBPL,355.2341209947568,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1169.817374075506,13123.359580052493,-22.810000000000002,-43.25055555555556
